Word,Frequency,Frequency: Percent of Total Words,Rows with Word,Percentage of Rows with Word
therapist,1456,5.0536,782,28.5089
people,1397,4.8488,844,30.7692
time,1393,4.835,898,32.7379
relationship,1375,4.7725,662,24.1342
life,1092,3.7902,719,26.2122
things,1010,3.5056,612,22.3113
therapy,910,3.1585,509,18.5563
work,902,3.1307,634,23.1134
feeling,868,3.0127,609,22.202
find,859,2.9815,666,24.28
person,857,2.9746,553,20.1604
anxiety,796,2.7628,339,12.3587
feelings,781,2.7108,529,19.2855
see,744,2.5823,567,20.6708
best,647,2.2457,535,19.5042
talk,641,2.2248,492,17.9366
right,617,2.1415,469,17.0981
important,600,2.0825,467,17.0252
thoughts,570,1.9784,294,10.7182
support,567,1.968,408,14.8742
change,505,1.7528,345,12.5775
start,503,1.7459,404,14.7284
counselor,502,1.7424,331,12.0671
question,475,1.6487,391,14.2545
counseling,475,1.6487,306,11.1557
helpful,474,1.6452,374,13.6347
family,473,1.6417,302,11.0098
give,468,1.6244,398,14.5097
ways,459,1.5931,375,13.6712
better,457,1.5862,376,13.7076
issues,455,1.5793,309,11.265
love,454,1.5758,292,10.6453
emotions,443,1.5376,291,10.6088
sounds,436,1.5133,383,13.9628
understand,421,1.4612,337,12.2858
situation,409,1.4196,321,11.7025
process,387,1.3432,303,11.0463
needs,384,1.3328,289,10.5359
care,382,1.3259,293,10.6817
experience,374,1.2981,307,11.1921
consider,370,1.2842,285,10.3901
difficult,367,1.2738,299,10.9005
great,361,1.253,319,11.6296
learn,361,1.253,281,10.2443
hope,334,1.1593,312,11.3744
