Column,Correlation,P-value
modal_verbs,0.0669635531137899,0.0006113481976234359
concreteness,0.10384410182643405,1.0255470137156194e-07
flesch_reading_ease,-0.004827334929659575,0.8051100831258247
ari,-0.005429513360279986,0.7813818450206863
clause_density,0.0995057454193697,3.420708919953847e-07
t_unit_complexity,0.09779238423113404,5.430623436893511e-07
present_indicative_verbs,0.0861911136154534,1.016333008068008e-05
self_referential_sent,0.11939877571662667,9.085170943304178e-10
Segment,,
WC,0.0951051694459403,1.104064369752692e-06
Analytic,0.008883989837539503,0.6497619144829099
Clout,0.0027319811757494576,0.8889452410828454
Authentic,-0.007166914222556141,0.7141229676712009
Tone,-0.01291390258865489,0.5091954760159381
WPS,-0.017810487978213493,0.3626047794223903
BigWords,0.018357435006253378,0.34805137479198833
Dic,0.03022327886123421,0.12231144553025601
Linguistic,0.011991163462666227,0.5399280279132047
function,0.0019332471387338893,0.9212864121870105
pronoun,-0.017902967315055505,0.3601176523996393
ppron,-0.011144337536363767,0.5689259690602805
i,0.04377636458882921,0.02518209287457614
we,0.007751206904889429,0.6919645331923778
you,-0.050205210173872646,0.010236414660419128
shehe,0.03391208343356843,0.08294751470926891
they,-0.0073513219226970655,0.7071024578821754
ipron,-0.016071612853481014,0.4113528044967352
det,0.0107374126215308,0.583119976008878
article,0.004525538633250004,0.8170713944538278
number,-0.003462734605907331,0.8595162657361516
prep,0.00014973104817068143,0.9938937322597543
auxverb,-0.014045205864021115,0.4728049527804489
adverb,0.035600687384027885,0.06872529203896616
conj,-0.0021457000889275376,0.9126691248178173
negate,0.01646403498414919,0.40002475635386214
verb,-0.008835987034447657,0.6515288718228888
adj,0.026320017662202055,0.1784579567914553
quantity,-0.0029512874367042213,0.8800953327364409
Drives,0.060700137229885986,0.0019001751412559852
affiliation,0.05117076940963909,0.008865781849775508
achieve,0.0009288382565004724,0.9621343615083592
power,0.04049063661870813,0.03841194338536829
Cognition,-0.005268147363984858,0.7877213861377184
allnone,0.01821753928460837,0.3517379858091341
cogproc,-0.007799526892350669,0.690143504092795
insight,-0.03088121309821715,0.11438279464678908
cause,-0.03305222243777941,0.09105715172077213
discrep,0.0034735624431764048,0.8590815650501724
tentat,-0.02924084052461797,0.13494168042297652
certitude,0.047803774979993885,0.014494296807130743
differ,-0.003039081774592423,0.876556598323575
memory,0.007149141444347793,0.7148008786346953
Affect,0.020498743353289155,0.2947056029356423
tone_pos,0.011052961411214894,0.5720988723062636
tone_neg,0.022790231950264354,0.24401097936694666
emotion,-0.011207502660546239,0.5667375745782116
emo_pos,0.0025249733225010756,0.8973115884055678
emo_neg,-0.008951957219634071,0.6472634371745181
emo_anx,-0.012889637879186837,0.5099917450457545
emo_anger,0.004066817365686091,0.8353331639313339
emo_sad,-0.005926409975429339,0.7619531093124361
swear,0.009241832987428315,0.6366524399600002
Social,0.011738490097002782,0.5485024577289722
socbehav,0.030263457790214103,0.12181526181015913
prosocial,0.021065333383358007,0.2815589525389318
polite,0.021923751252117003,0.2624091590919693
conflict,0.061078156064560934,0.0017793674924997164
moral,0.0476960587231859,0.014717422908501502
comm,-0.017709335958547234,0.3653374260800511
socrefs,-0.001257733573236814,0.9487424329799803
family,0.008879818166087381,0.6499153935603588
friend,0.010030860927214313,0.6081496509556491
female,0.02658486609169262,0.17412682289839312
male,0.0424482205604945,0.029960049148571595
Culture,-0.03629317004165753,0.06350340907598062
politic,-0.0011095440148509658,0.954774837505124
ethnicity,0.011532842687440955,0.55553032294373
tech,-0.04052435417787236,0.0382507893245221
Lifestyle,-0.00035573795504040766,0.9854931038165887
leisure,0.021463154974660437,0.27256949376207107
home,-0.028038067917354234,0.15174900634683708
work,0.0018199972364496436,0.9258837745657373
money,-0.015940714310984698,0.41517336963946294
relig,0.01250605311162985,0.5226654143117921
Physical,-0.038560258949876206,0.04864967117507887
health,-0.055028505446844664,0.0048810029138128
illness,-0.019874929316789802,0.30964839775668346
wellness,-0.016103206796452666,0.4104337989505776
mental,-0.005759283873806232,0.7684717224335476
substances,0.010060365957663287,0.6070949099997537
sexual,0.02195200345107799,0.26179456527312284
food,0.027417926525273677,0.16101513294701494
death,0.01742193851026399,0.3731714233295898
need,0.016119635164952927,0.409956412275681
want,0.02460446212279238,0.20846809213051268
acquire,-0.016149466706181188,0.40909039101411676
lack,0.008390573717522935,0.668016548988984
fulfill,0.0026400917366686707,0.8926575390568348
fatigue,-0.02558000940769925,0.19098346645116906
reward,-0.01615174905453847,0.4090241783880009
risk,0.04857898116030862,0.012974593243906207
curiosity,-0.039700898401403346,0.042354782406447765
allure,-0.012292523601301893,0.5297898521916133
Perception,0.012101935394657645,0.5361902535155828
attention,-0.024005038509561885,0.21977100636028332
motion,0.029414519868747362,0.13263838890286464
space,0.01628642163953876,0.40512852118978593
visual,-0.0011837490247976386,0.9517538026926492
auditory,0.0157009133104334,0.4222266085770266
feeling,-0.016683797563817993,0.39376358100712333
time,0.020069321130822115,0.30493922858021705
focuspast,0.016916792873848917,0.3871905680972112
focuspresent,-0.022978910683155548,0.24012778600737775
focusfuture,0.03159382828202685,0.1062573068394371
Conversation,-0.006485649553561354,0.7402653039565205
netspeak,-0.0001926819536737513,0.992142177041299
assent,-0.008930811572685316,0.6480403260965409
nonflu,0.0004652043741358183,0.9810298351135704
filler,0.02727815467789034,0.16316139878314978
AllPunc,0.019476224652644137,0.3194565320571871
Period,0.04717272586544756,0.01584507267522657
Comma,0.01433613253016347,0.46368349142304444
QMark,-0.029317890203425682,0.13391608292764393
Exclam,-0.03580704793690657,0.06713351399111765
Apostro,0.04406560757806056,0.02423373379103224
OtherP,-0.0162651002073213,0.4057438025052272
Emoji,-0.0003736858710356709,0.9847612795395466
